Estampa de tiempo;KPH;1DIAG;2DIAG;2AXI;3DIAG;4DIAG;Falla
18/04/2019 14:28;3600;0;0;0;0;0;OK
21/04/2019 8:17;3600;0,030310649;0,02607166;0,029335307;0,784850749;1,214789303;OK
21/04/2019 8:17;3600;0,04163963;0,032261335;0,027984832;0,368867097;0,642300665;OK
21/04/2019 8:17;3600;0,04317767;0,028810122;0,030273136;0,471465644;0,729668861;OK
21/04/2019 8:17;3600;0,055294427;0,03998905;0,033274191;0,553544482;0,901179119;OK
21/04/2019 8:35;3600;0,036950482;0,029110228;0,02535891;0,865279006;1,336894703;OK
21/04/2019 8:45;3600;0,032111282;0,027122029;0,028172398;22,00519378;0,763130617;OK
21/04/2019 8:45;3600;0,028622556;0,028397477;0,02772224;22,44210979;0,804132523;OK
21/04/2019 8:45;3600;0,036837943;0,029710438;0,027647214;48,51061867;228,3953942;SoltEst_BChumP3
21/04/2019 8:45;3600;0,032336361;0,027309595;0,028847635;31,73292401;73,24249544;Desb_Molino
21/04/2019 8:45;3600;0,030535728;0,031661124;0,033649322;22,70038803;23,21030468;Desb_Molino
21/04/2019 8:45;3600;0,03256144;0,029410333;0,030685781;22,76059668;22,75253135;Desb_Molino
21/04/2019 10:04;3600;0;0;0;0;0;Desb_Molino
21/04/2019 10:06;3600;0,037850798;0,030985887;0,032148795;19,59771044;20,33274368;Desb_Molino
21/04/2019 10:06;3600;0,032711493;0,027834779;0,033086625;19,7313699;20,22778181;Desb_Molino
21/04/2019 10:06;3600;0,038113391;0,039426352;0,037850798;11,63186173;11,93425547;Desb_Molino
21/04/2019 10:06;3600;0,033011598;0,033199164;0,045165869;14,74500549;15,1289904;Desb_Molino
21/04/2019 10:06;3600;0;0;0;0;0;Desb_Molino
21/04/2019 10:06;3600;0;0;0;0;0;OK
21/04/2019 12:39;3600;0;0;0;0;0;OK
21/04/2019 13:09;3600;0;0;0;0;0;OK
21/04/2019 13:39;3600;0;0;0;0;0;OK
21/04/2019 14:09;3600;0;0;0;0;0;OK
21/04/2019 14:39;3600;0;0;0;0;0;OK
21/04/2019 15:09;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:25;3600;0;0;0;0;0;OK
21/04/2019 15:27;3600;0;0;0;0;0;OK
21/04/2019 16:42;3600;0;0;0;0;0;OK
21/04/2019 17:12;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:17;3600;0;0;0;0;0;OK
21/04/2019 17:21;3600;0;0;0;0;0;OK
21/04/2019 17:42;3600;0;0;0;0;0;OK
21/04/2019 18:12;3600;0;0;0;0;0;OK
21/04/2019 18:48;3600;0;0;0;0;0;OK
21/04/2019 19:18;3600;0;0;0;0;0;OK
21/04/2019 19:48;3600;0;0;0;0;0;OK
21/04/2019 20:18;3600;0;0;0;0;0;OK
21/04/2019 20:48;3600;0;0;0;0;0;OK
21/04/2019 21:18;3600;0;0;0;0;0;OK
21/04/2019 21:48;3600;0;0;0;0;0;OK
21/04/2019 22:18;3600;0;0;0;0;0;OK
21/04/2019 22:31;3600;0;0;0;0;0;OK
21/04/2019 22:31;3600;0;0;0;0;0;OK
21/04/2019 22:31;3600;0;0;0;0;0;OK
21/04/2019 22:31;3600;0;0;0;0;0;OK
21/04/2019 22:31;3600;0;0;0;0;0;OK
21/04/2019 22:32;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
21/04/2019 22:33;3600;0;0;0;0;0;OK
22/04/2019 2:49;3600;0;0;0;0;0;OK
22/04/2019 8:35;3600;0;0;0;0;0;OK
22/04/2019 8:35;3600;0;0;0;0;0;OK
22/04/2019 8:35;3600;0;0;0;0;0;OK
22/04/2019 8:35;3600;0;0;0;0;0;OK
22/04/2019 8:37;3600;0;0;0;0;0;OK
22/04/2019 8:37;3600;0;0;0;0;0;OK
22/04/2019 8:37;3600;0;0;0;0;0;OK
22/04/2019 8:37;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 8:41;3600;0;0;0;0;0;OK
22/04/2019 9:46;3600;0;0;0;0;0;OK
22/04/2019 9:46;3600;0;0;0;0;0;OK
22/04/2019 9:46;3600;0;0;0;0;0;OK
22/04/2019 9:46;3600;0;0;0;0;0;OK
22/04/2019 13:53;3600;0;0;0;0;0;OK
22/04/2019 13:53;3600;0;0;0;0;0;OK
22/04/2019 13:53;3600;0;0;0;0;0;OK
22/04/2019 13:53;3600;0;0;0;0;0;OK
22/04/2019 13:53;3600;0;0;0;0;0;OK
